labels,AP,P@10,RR,success@10
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0.8339285714285714,0.7,1.0,1
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]",0.30658730158730163,0.4,0.25,1
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",0.4957936507936508,0.3,1.0,1
"[1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",0.8875396825396826,0.8,1.0,1
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.48579365079365083,0.2,1.0,1
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[0, 0, 1, 1, 1, 1, 1, 1, 0, 1]",0.49309523809523814,0.7,0.3333333333333333,1
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",0.8943253968253968,0.8,1.0,1
"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.9184920634920635,0.8,1.0,1
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,1.0,1
"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0.9352777777777778,0.7,1.0,1
"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",0.8873809523809524,0.6,1.0,1
